node1	node2
hsa-miR-27a-3p	ENSG00000131797
hsa-miR-4482-5p	ENSG00000131797
hsa-miR-660-3p	ENSG00000131797
hsa-miR-502-3p	ENSG00000131797
hsa-miR-4701-3p	ENSG00000131797
hsa-miR-16-5p	ENSG00000131797
hsa-let-7i-5p	ENSG00000131797
hsa-miR-30c-1-3p	ENSG00000131797
hsa-miR-338-3p	ENSG00000131797
hsa-miR-130a-5p	ENSG00000131797
hsa-miR-195-5p	ENSG00000131797
hsa-miR-1914-3p	ENSG00000131797
hsa-miR-27b-5p	ENSG00000131797
hsa-miR-502-5p	ENSG00000131797
hsa-miR-539-5p	ENSG00000131797
hsa-miR-194-3p	ENSG00000131797
hsa-miR-652-5p	ENSG00000131797
hsa-miR-676-3p	ENSG00000131797
hsa-miR-30d-3p	ENSG00000131797
hsa-miR-499a-3p	ENSG00000131797
hsa-miR-204-3p	ENSG00000131797
hsa-miR-490-3p	ENSG00000131797
hsa-miR-146b-5p	ENSG00000131797
hsa-miR-497-5p	ENSG00000131797
hsa-miR-4690-5p	ENSG00000131797
hsa-miR-28-5p	ENSG00000131797
hsa-miR-424-5p	ENSG00000131797
hsa-miR-3619-5p	ENSG00000131797
hsa-miR-130b-5p	ENSG00000131797
hsa-let-7b-5p	ENSG00000131797
hsa-miR-15b-5p	ENSG00000131797
hsa-miR-3657	ENSG00000131797
hsa-let-7e-5p	ENSG00000131797
hsa-miR-551a	ENSG00000131797
hsa-miR-491-5p	ENSG00000131797
hsa-miR-93-3p	ENSG00000131797
hsa-miR-590-5p	ENSG00000131797
hsa-miR-5690	ENSG00000131797
hsa-miR-4726-3p	ENSG00000131797
hsa-miR-15a-5p	ENSG00000131797
hsa-miR-199a-5p	ENSG00000131797
hsa-let-7g-5p	ENSG00000131797
hsa-let-7a-5p	ENSG00000131797
hsa-miR-4326	ENSG00000132832
hsa-miR-452-3p	ENSG00000132832
hsa-miR-574-5p	ENSG00000132832
hsa-miR-200a-5p	ENSG00000132967
hsa-miR-141-5p	ENSG00000132967
hsa-miR-452-3p	ENSG00000132967
hsa-miR-136-3p	ENSG00000132967
hsa-miR-22-3p	ENSG00000133136
hsa-miR-17-3p	ENSG00000133136
hsa-miR-320c	ENSG00000133624
hsa-miR-5581-3p	ENSG00000133624
hsa-miR-4690-5p	ENSG00000133624
hsa-miR-26b-3p	ENSG00000133624
hsa-miR-9-5p	ENSG00000133624
hsa-miR-16-5p	ENSG00000133624
